id_pays,pays,region_who
1,afghanistan,eastern mediterranean
2,albania,europe
3,algeria,africa
4,angola,africa
5,argentina,americas
6,armenia,europe
7,australia,western pacific
8,austria,europe
9,azerbaijan,europe
10,bahamas,americas
11,bahrain,eastern mediterranean
12,bangladesh,south-east asia
13,barbados,americas
14,belarus,europe
15,belgium,europe
16,belize,americas
17,benin,africa
18,bhutan,south-east asia
19,bolivia (plurinational state of),americas
20,bosnia and herzegovina,europe
21,botswana,africa
22,brazil,americas
23,brunei darussalam,western pacific
24,bulgaria,europe
25,burkina faso,africa
26,burundi,africa
27,cabo verde,africa
28,cambodia,western pacific
29,cameroon,africa
30,canada,americas
31,central african republic,africa
32,chad,africa
33,chile,americas
34,china,western pacific
35,colombia,americas
36,comoros,africa
37,congo,americas
38,costa rica,americas
39,côte d'ivoire,africa
40,croatia,europe
41,cuba,americas
42,cyprus,europe
43,czechia,europe
44,democratic people's republic of korea,western pacific
45,democratic republic of the congo,africa
46,denmark,europe
47,djibouti,eastern mediterranean
48,dominican republic,americas
49,ecuador,americas
50,egypt,eastern mediterranean
51,el salvador,americas
52,equatorial guinea,africa
53,eritrea,africa
54,estonia,europe
55,eswatini,africa
56,ethiopia,africa
57,fiji,western pacific
58,finland,europe
59,france,europe
60,gabon,africa
61,gambia,africa
62,georgia,europe
63,germany,europe
64,ghana,africa
65,greece,europe
66,guatemala,americas
67,guinea,africa
68,guinea-bissau,africa
69,guyana,americas
70,haiti,americas
71,honduras,americas
72,hungary,europe
73,iceland,europe
74,india,south-east asia
75,indonesia,south-east asia
76,iran (islamic republic of),eastern mediterranean
77,ireland,europe
78,israel,europe
79,italy,europe
80,jamaica,americas
81,japan,western pacific
82,jordan,eastern mediterranean
83,kazakhstan,europe
84,kenya,africa
85,kuwait,eastern mediterranean
86,kyrgyzstan,europe
87,lao people's democratic republic,western pacific
88,latvia,europe
89,lebanon,eastern mediterranean
90,lesotho,africa
91,liberia,africa
92,libya,eastern mediterranean
93,lithuania,europe
94,luxembourg,europe
95,madagascar,africa
96,malawi,africa
97,malaysia,western pacific
98,maldives,south-east asia
99,mali,africa
100,malta,europe
101,mauritania,africa
102,mauritius,africa
103,mexico,americas
104,mongolia,western pacific
105,montenegro,europe
106,morocco,eastern mediterranean
107,mozambique,africa
108,myanmar,south-east asia
109,namibia,africa
110,nepal,south-east asia
111,netherlands,europe
112,new zealand,western pacific
113,nicaragua,americas
114,niger,africa
115,nigeria,africa
116,norway,europe
117,oman,eastern mediterranean
118,pakistan,eastern mediterranean
119,panama,americas
120,papua new guinea,western pacific
121,paraguay,americas
122,peru,americas
123,philippines,western pacific
124,poland,europe
125,portugal,europe
126,qatar,eastern mediterranean
127,republic of korea,western pacific
128,republic of moldova,europe
129,republic of north macedonia,europe
130,romania,europe
131,russian federation,europe
132,rwanda,africa
133,saudi arabia,eastern mediterranean
134,senegal,africa
135,serbia,europe
136,sierra leone,africa
137,singapore,western pacific
138,slovakia,europe
139,slovenia,europe
140,somalia,eastern mediterranean
141,south africa,africa
142,south sudan,africa
143,spain,europe
144,sri lanka,south-east asia
145,sudan,eastern mediterranean
146,suriname,americas
147,sweden,europe
148,switzerland,europe
149,syrian arab republic,eastern mediterranean
150,tajikistan,europe
151,thailand,south-east asia
152,timor-leste,south-east asia
153,togo,africa
154,trinidad and tobago,americas
155,tunisia,eastern mediterranean
156,turkey,europe
157,turkmenistan,europe
158,uganda,africa
159,ukraine,europe
160,united arab emirates,eastern mediterranean
161,united kingdom of great britain and northern ireland,europe
162,united republic of tanzania,africa
163,united states of america,americas
164,uruguay,americas
165,uzbekistan,europe
166,venezuela (bolivarian republic of),americas
167,viet nam,western pacific
168,yemen,eastern mediterranean
169,zambia,africa
170,zimbabwe,africa
