id,id_pays,annee,valeur,id_unite,id_type_statistique
1,1,2018,7200,2,1
2,3,2018,16000,2,1
3,4,2018,330000,2,1
4,5,2018,140000,2,1
5,6,2018,3500,2,1
6,7,2018,28000,2,1
7,10,2018,6000,2,1
8,12,2018,14000,2,1
9,13,2018,3000,2,1
10,14,2018,27000,2,1
11,16,2018,4900,2,1
12,17,2018,73000,2,1
13,18,2018,1300,2,1
14,19,2018,22000,2,1
15,20,2018,500,2,1
16,21,2018,370000,2,1
17,22,2018,900000,2,1
18,24,2018,3500,2,1
19,25,2018,96000,2,1
20,26,2018,82000,2,1
21,27,2018,2400,2,1
22,28,2018,73000,2,1
23,29,2018,540000,2,1
24,31,2018,110000,2,1
25,32,2018,120000,2,1
26,33,2018,71000,2,1
27,35,2018,160000,2,1
28,36,2018,200,2,1
29,37,2018,89000,2,1
30,38,2018,15000,2,1
31,39,2018,460000,2,1
32,40,2018,1600,2,1
33,41,2018,31000,2,1
34,43,2018,4400,2,1
35,45,2018,450000,2,1
36,46,2018,6200,2,1
37,47,2018,8800,2,1
38,48,2018,70000,2,1
39,49,2018,44000,2,1
40,50,2018,22000,2,1
41,51,2018,25000,2,1
42,52,2018,62000,2,1
43,53,2018,18000,2,1
44,54,2018,7400,2,1
45,55,2018,210000,2,1
46,56,2018,690000,2,1
47,58,2018,4000,2,1
48,59,2018,180000,2,1
49,60,2018,53000,2,1
50,61,2018,26000,2,1
51,62,2018,9400,2,1
52,63,2018,87000,2,1
53,64,2018,330000,2,1
54,66,2018,47000,2,1
55,67,2018,120000,2,1
56,68,2018,44000,2,1
57,69,2018,8200,2,1
58,70,2018,160000,2,1
59,71,2018,23000,2,1
60,72,2018,3700,2,1
61,73,2018,500,2,1
62,75,2018,640000,2,1
63,76,2018,61000,2,1
64,77,2018,7200,2,1
65,78,2018,9000,2,1
66,79,2018,130000,2,1
67,80,2018,40000,2,1
68,81,2018,30000,2,1
69,82,2018,500,2,1
70,83,2018,26000,2,1
71,84,2018,1600000,2,1
72,85,2018,640,2,1
73,86,2018,8500,2,1
74,87,2018,12000,2,1
75,88,2018,5300,2,1
76,89,2018,2500,2,1
77,90,2018,340000,2,1
78,91,2018,39000,2,1
79,92,2018,9200,2,1
80,94,2018,1200,2,1
81,95,2018,39000,2,1
82,96,2018,1000000,2,1
83,97,2018,87000,2,1
84,99,2018,150000,2,1
85,101,2018,5600,2,1
86,102,2018,13000,2,1
87,103,2018,230000,2,1
88,104,2018,600,2,1
89,105,2018,500,2,1
90,106,2018,21000,2,1
91,107,2018,2200000,2,1
92,108,2018,240000,2,1
93,109,2018,200000,2,1
94,110,2018,30000,2,1
95,112,2018,3600,2,1
96,113,2018,9400,2,1
97,114,2018,36000,2,1
98,115,2018,1900000,2,1
99,116,2018,5800,2,1
100,117,2018,3200,2,1
101,118,2018,160000,2,1
102,119,2018,26000,2,1
103,120,2018,45000,2,1
104,121,2018,21000,2,1
105,122,2018,79000,2,1
106,123,2018,77000,2,1
107,125,2018,41000,2,1
108,128,2018,17000,2,1
109,129,2018,500,2,1
110,130,2018,18000,2,1
111,132,2018,220000,2,1
112,134,2018,42000,2,1
113,135,2018,3000,2,1
114,136,2018,70000,2,1
115,137,2018,7900,2,1
